query,value
行业:服务 业态:出行服务 品类:共享单车 年份:2017 指标:品类规模及潜力预测（亿元） 值,6.00
行业:服务 业态:出行服务 品类:共享单车 年份:2018 指标:品类规模及潜力预测（亿元） 值,19.00
行业:服务 业态:出行服务 品类:共享单车 年份:2019 指标:品类规模及潜力预测（亿元） 值,41.00
行业:服务 业态:出行服务 品类:共享单车 年份:2020 指标:品类规模及潜力预测（亿元） 值,66.00
行业:服务 业态:出行服务 品类:共享单车 年份:2021 指标:品类规模及潜力预测（亿元） 值,119.00
行业:服务 业态:出行服务 品类:共享单车 年份:2022 指标:品类规模及潜力预测（亿元） 值,199.00
行业:服务 业态:出行服务 品类:共享单车 年份:2023 指标:品类规模及潜力预测（亿元） 值,291.00
行业:服务 业态:出行服务 品类:共享单车 年份:2024 指标:品类规模及潜力预测（亿元） 值,380.00
行业:服务 业态:出行服务 品类:共享单车 年份:2025 指标:品类规模及潜力预测（亿元） 值,435.00
行业:服务 业态:出行服务 品类:共享单车 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2017 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2018 指标:品类规模年增长 (%) 值,216.40
行业:服务 业态:出行服务 品类:共享单车 年份:2019 指标:品类规模年增长 (%) 值,110.90
行业:服务 业态:出行服务 品类:共享单车 年份:2020 指标:品类规模年增长 (%) 值,63.10
行业:服务 业态:出行服务 品类:共享单车 年份:2021 指标:品类规模年增长 (%) 值,78.80
行业:服务 业态:出行服务 品类:共享单车 年份:2022 指标:品类规模年增长 (%) 值,67.50
行业:服务 业态:出行服务 品类:共享单车 年份:2023 指标:品类规模年增长 (%) 值,46.40
行业:服务 业态:出行服务 品类:共享单车 年份:2024 指标:品类规模年增长 (%) 值,30.40
行业:服务 业态:出行服务 品类:共享单车 年份:2025 指标:品类规模年增长 (%) 值,14.60
行业:服务 业态:出行服务 品类:共享单车 年份:2016 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2017 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2018 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2019 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2020 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2021 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2022 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2023 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2024 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2025 指标:竞争集中度(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2016 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2017 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2018 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2019 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2020 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2021 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2022 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2023 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2024 指标:连锁化率(%) 值,\N
行业:服务 业态:出行服务 品类:共享单车 年份:2025 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2016 指标:辅助生殖服务规模及潜力预测（亿元） 值,189.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2017 指标:辅助生殖服务规模及潜力预测（亿元） 值,210.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2018 指标:辅助生殖服务规模及潜力预测（亿元） 值,240.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2019 指标:辅助生殖服务规模及潜力预测（亿元） 值,282.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2020 指标:辅助生殖服务规模及潜力预测（亿元） 值,340.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2021 指标:辅助生殖服务规模及潜力预测（亿元） 值,409.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2022 指标:辅助生殖服务规模及潜力预测（亿元） 值,488.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2023 指标:辅助生殖服务规模及潜力预测（亿元） 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2024 指标:辅助生殖服务规模及潜力预测（亿元） 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2025 指标:辅助生殖服务规模及潜力预测（亿元） 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2016 指标:辅助生殖服务规模年增长 (%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2017 指标:辅助生殖服务规模年增长 (%) 值,11.10
行业:服务 业态:医疗健康 品类:其他专科 年份:2018 指标:辅助生殖服务规模年增长 (%) 值,14.30
行业:服务 业态:医疗健康 品类:其他专科 年份:2019 指标:辅助生殖服务规模年增长 (%) 值,17.50
行业:服务 业态:医疗健康 品类:其他专科 年份:2020 指标:辅助生殖服务规模年增长 (%) 值,20.70
行业:服务 业态:医疗健康 品类:其他专科 年份:2021 指标:辅助生殖服务规模年增长 (%) 值,20.00
行业:服务 业态:医疗健康 品类:其他专科 年份:2022 指标:辅助生殖服务规模年增长 (%) 值,19.40
行业:服务 业态:医疗健康 品类:其他专科 年份:2023 指标:辅助生殖服务规模年增长 (%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2024 指标:辅助生殖服务规模年增长 (%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2025 指标:辅助生殖服务规模年增长 (%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2016 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2017 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2018 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2019 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2020 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2021 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2022 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2023 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2024 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2025 指标:竞争集中度(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2016 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2017 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2018 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2019 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2020 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2021 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2022 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2023 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2024 指标:连锁化率(%) 值,\N
行业:服务 业态:医疗健康 品类:其他专科 年份:2025 指标:连锁化率(%) 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2016 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2017 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2018 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2019 指标:品类规模及潜力预测（亿元） 值,596.70
行业:服务 业态:美容美体 品类:养发护发 年份:2020 指标:品类规模及潜力预测（亿元） 值,657.00
行业:服务 业态:美容美体 品类:养发护发 年份:2021 指标:品类规模及潜力预测（亿元） 值,722.70
行业:服务 业态:美容美体 品类:养发护发 年份:2022 指标:品类规模及潜力预测（亿元） 值,794.70
行业:服务 业态:美容美体 品类:养发护发 年份:2023 指标:品类规模及潜力预测（亿元） 值,834.44
行业:服务 业态:美容美体 品类:养发护发 年份:2024 指标:品类规模及潜力预测（亿元） 值,876.16
行业:服务 业态:美容美体 品类:养发护发 年份:2025 指标:品类规模及潜力预测（亿元） 值,919.96
行业:服务 业态:美容美体 品类:养发护发 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2017 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2018 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2019 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:美容美体 品类:养发护发 年份:2020 指标:品类规模年增长 (%) 值,10.11
行业:服务 业态:美容美体 品类:养发护发 年份:2021 指标:品类规模年增长 (%) 值,10.00
行业:服务 业态:美容美体 品类:养发护发 年份:2022 指标:品类规模年增长 (%) 值,9.96
行业:服务 业态:美容美体 品类:养发护发 年份:2023 指标:品类规模年增长 (%) 值,5.00
行业:服务 业态:美容美体 品类:养发护发 年份:2024 指标:品类规模年增长 (%) 值,5.00
行业:服务 业态:美容美体 品类:养发护发 年份:2025 指标:品类规模年增长 (%) 值,5.00
行业:服务 业态:居民服务 品类:养老服务 年份:2016 指标:品类规模及潜力预测（亿元） 值,372.00
行业:服务 业态:居民服务 品类:养老服务 年份:2017 指标:品类规模及潜力预测（亿元） 值,396.00
行业:服务 业态:居民服务 品类:养老服务 年份:2018 指标:品类规模及潜力预测（亿元） 值,429.00
行业:服务 业态:居民服务 品类:养老服务 年份:2019 指标:品类规模及潜力预测（亿元） 值,466.00
行业:服务 业态:居民服务 品类:养老服务 年份:2020 指标:品类规模及潜力预测（亿元） 值,459.00
行业:服务 业态:居民服务 品类:养老服务 年份:2021 指标:品类规模及潜力预测（亿元） 值,505.00
行业:服务 业态:居民服务 品类:养老服务 年份:2022 指标:品类规模及潜力预测（亿元） 值,550.00
行业:服务 业态:居民服务 品类:养老服务 年份:2023 指标:品类规模及潜力预测（亿元） 值,597.00
行业:服务 业态:居民服务 品类:养老服务 年份:2024 指标:品类规模及潜力预测（亿元） 值,645.00
行业:服务 业态:居民服务 品类:养老服务 年份:2025 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2017 指标:品类规模年增长 (%) 值,6.50
行业:服务 业态:居民服务 品类:养老服务 年份:2018 指标:品类规模年增长 (%) 值,8.30
行业:服务 业态:居民服务 品类:养老服务 年份:2019 指标:品类规模年增长 (%) 值,8.60
行业:服务 业态:居民服务 品类:养老服务 年份:2020 指标:品类规模年增长 (%) 值,-1.5
行业:服务 业态:居民服务 品类:养老服务 年份:2021 指标:品类规模年增长 (%) 值,10.00
行业:服务 业态:居民服务 品类:养老服务 年份:2022 指标:品类规模年增长 (%) 值,9.00
行业:服务 业态:居民服务 品类:养老服务 年份:2023 指标:品类规模年增长 (%) 值,8.50
行业:服务 业态:居民服务 品类:养老服务 年份:2024 指标:品类规模年增长 (%) 值,8.00
行业:服务 业态:居民服务 品类:养老服务 年份:2025 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2016 指标:中国养老机构床位数（万张） 值,730.00
行业:服务 业态:居民服务 品类:养老服务 年份:2017 指标:中国养老机构床位数（万张） 值,735.00
行业:服务 业态:居民服务 品类:养老服务 年份:2018 指标:中国养老机构床位数（万张） 值,727.00
行业:服务 业态:居民服务 品类:养老服务 年份:2019 指标:中国养老机构床位数（万张） 值,775.00
行业:服务 业态:居民服务 品类:养老服务 年份:2020 指标:中国养老机构床位数（万张） 值,824.00
行业:服务 业态:居民服务 品类:养老服务 年份:2021 指标:中国养老机构床位数（万张） 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2022 指标:中国养老机构床位数（万张） 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2023 指标:中国养老机构床位数（万张） 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2024 指标:中国养老机构床位数（万张） 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2025 指标:中国养老机构床位数（万张） 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2016 指标:连锁化率(%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2017 指标:连锁化率(%) 值,2.10
行业:服务 业态:居民服务 品类:养老服务 年份:2018 指标:连锁化率(%) 值,-2.4
行业:服务 业态:居民服务 品类:养老服务 年份:2019 指标:连锁化率(%) 值,6.60
行业:服务 业态:居民服务 品类:养老服务 年份:2020 指标:连锁化率(%) 值,6.30
行业:服务 业态:居民服务 品类:养老服务 年份:2021 指标:连锁化率(%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2022 指标:连锁化率(%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2023 指标:连锁化率(%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2024 指标:连锁化率(%) 值,\N
行业:服务 业态:居民服务 品类:养老服务 年份:2025 指标:连锁化率(%) 值,\N
行业:零售 业态:服装鞋包 品类:内衣 年份:2016 指标:品类规模及潜力预测（亿元） 值,1574.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2017 指标:品类规模及潜力预测（亿元） 值,1703.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2018 指标:品类规模及潜力预测（亿元） 值,1860.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2019 指标:品类规模及潜力预测（亿元） 值,1969.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2020 指标:品类规模及潜力预测（亿元） 值,1782.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2021 指标:品类规模及潜力预测（亿元） 值,2013.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2022 指标:品类规模及潜力预测（亿元） 值,2094.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2023 指标:品类规模及潜力预测（亿元） 值,2174.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2024 指标:品类规模及潜力预测（亿元） 值,2257.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2025 指标:品类规模及潜力预测（亿元） 值,2341.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:零售 业态:服装鞋包 品类:内衣 年份:2017 指标:品类规模年增长 (%) 值,8.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2018 指标:品类规模年增长 (%) 值,9.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2019 指标:品类规模年增长 (%) 值,6.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2020 指标:品类规模年增长 (%) 值,-10.0
行业:零售 业态:服装鞋包 品类:内衣 年份:2021 指标:品类规模年增长 (%) 值,13.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2022 指标:品类规模年增长 (%) 值,4.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2023 指标:品类规模年增长 (%) 值,4.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2024 指标:品类规模年增长 (%) 值,4.00
行业:零售 业态:服装鞋包 品类:内衣 年份:2025 指标:品类规模年增长 (%) 值,4.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2016 指标:品类规模及潜力预测（亿元） 值,583.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2017 指标:品类规模及潜力预测（亿元） 值,636.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2018 指标:品类规模及潜力预测（亿元） 值,685.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2019 指标:品类规模及潜力预测（亿元） 值,743.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2020 指标:品类规模及潜力预测（亿元） 值,621.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2021 指标:品类规模及潜力预测（亿元） 值,734.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2022 指标:品类规模及潜力预测（亿元） 值,833.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2023 指标:品类规模及潜力预测（亿元） 值,929.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2024 指标:品类规模及潜力预测（亿元） 值,1035.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2025 指标:品类规模及潜力预测（亿元） 值,1158.00
行业:餐饮 业态:火锅 品类:北派火锅 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2017 指标:品类规模年增长 (%) 值,9.10
行业:餐饮 业态:火锅 品类:北派火锅 年份:2018 指标:品类规模年增长 (%) 值,7.70
行业:餐饮 业态:火锅 品类:北派火锅 年份:2019 指标:品类规模年增长 (%) 值,8.50
行业:餐饮 业态:火锅 品类:北派火锅 年份:2020 指标:品类规模年增长 (%) 值,-16.4
行业:餐饮 业态:火锅 品类:北派火锅 年份:2021 指标:品类规模年增长 (%) 值,18.20
行业:餐饮 业态:火锅 品类:北派火锅 年份:2022 指标:品类规模年增长 (%) 值,13.50
行业:餐饮 业态:火锅 品类:北派火锅 年份:2023 指标:品类规模年增长 (%) 值,11.50
行业:餐饮 业态:火锅 品类:北派火锅 年份:2024 指标:品类规模年增长 (%) 值,11.40
行业:餐饮 业态:火锅 品类:北派火锅 年份:2025 指标:品类规模年增长 (%) 值,11.90
行业:餐饮 业态:火锅 品类:北派火锅 年份:2016 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2017 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2018 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2019 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2020 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2021 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2022 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2023 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2024 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2025 指标:竞争集中度(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2016 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2017 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2018 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2019 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2020 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2021 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2022 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2023 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2024 指标:连锁化率(%) 值,\N
行业:餐饮 业态:火锅 品类:北派火锅 年份:2025 指标:连锁化率(%) 值,\N
行业:零售 业态:服装鞋包 品类:女装 年份:2016 指标:品类规模及潜力预测（亿元） 值,12458.00
行业:零售 业态:服装鞋包 品类:女装 年份:2017 指标:品类规模及潜力预测（亿元） 值,13633.00
行业:零售 业态:服装鞋包 品类:女装 年份:2018 指标:品类规模及潜力预测（亿元） 值,15029.00
行业:零售 业态:服装鞋包 品类:女装 年份:2019 指标:品类规模及潜力预测（亿元） 值,16195.00
行业:零售 业态:服装鞋包 品类:女装 年份:2020 指标:品类规模及潜力预测（亿元） 值,15755.00
行业:零售 业态:服装鞋包 品类:女装 年份:2021 指标:品类规模及潜力预测（亿元） 值,16793.00
行业:零售 业态:服装鞋包 品类:女装 年份:2022 指标:品类规模及潜力预测（亿元） 值,17973.00
行业:零售 业态:服装鞋包 品类:女装 年份:2023 指标:品类规模及潜力预测（亿元） 值,19179.00
行业:零售 业态:服装鞋包 品类:女装 年份:2024 指标:品类规模及潜力预测（亿元） 值,\N
行业:零售 业态:服装鞋包 品类:女装 年份:2025 指标:品类规模及潜力预测（亿元） 值,\N
行业:零售 业态:服装鞋包 品类:女装 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:零售 业态:服装鞋包 品类:女装 年份:2017 指标:品类规模年增长 (%) 值,9.40
行业:零售 业态:服装鞋包 品类:女装 年份:2018 指标:品类规模年增长 (%) 值,10.20
行业:零售 业态:服装鞋包 品类:女装 年份:2019 指标:品类规模年增长 (%) 值,7.80
行业:零售 业态:服装鞋包 品类:女装 年份:2020 指标:品类规模年增长 (%) 值,-2.7
行业:零售 业态:服装鞋包 品类:女装 年份:2021 指标:品类规模年增长 (%) 值,6.60
行业:零售 业态:服装鞋包 品类:女装 年份:2022 指标:品类规模年增长 (%) 值,7.00
行业:零售 业态:服装鞋包 品类:女装 年份:2023 指标:品类规模年增长 (%) 值,6.70
行业:零售 业态:服装鞋包 品类:女装 年份:2024 指标:品类规模年增长 (%) 值,\N
行业:零售 业态:服装鞋包 品类:女装 年份:2025 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2016 指标:品类规模及潜力预测（亿元） 值,115.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2017 指标:品类规模及潜力预测（亿元） 值,145.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2018 指标:品类规模及潜力预测（亿元） 值,155.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2019 指标:品类规模及潜力预测（亿元） 值,226.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2020 指标:品类规模及潜力预测（亿元） 值,238.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2021 指标:品类规模及潜力预测（亿元） 值,303.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2022 指标:品类规模及潜力预测（亿元） 值,358.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2023 指标:品类规模及潜力预测（亿元） 值,467.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2024 指标:品类规模及潜力预测（亿元） 值,568.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2025 指标:品类规模及潜力预测（亿元） 值,670.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2017 指标:品类规模年增长 (%) 值,26.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2018 指标:品类规模年增长 (%) 值,7.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2019 指标:品类规模年增长 (%) 值,46.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2020 指标:品类规模年增长 (%) 值,5.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2021 指标:品类规模年增长 (%) 值,27.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2022 指标:品类规模年增长 (%) 值,18.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2023 指标:品类规模年增长 (%) 值,30.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2024 指标:品类规模年增长 (%) 值,22.00
行业:服务 业态:宠物服务 品类:宠物医疗 年份:2025 指标:品类规模年增长 (%) 值,18.00
行业:服务 业态:生活服务 品类:家政服务 年份:2016 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:生活服务 品类:家政服务 年份:2017 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:生活服务 品类:家政服务 年份:2018 指标:品类规模及潜力预测（亿元） 值,4.74
行业:服务 业态:生活服务 品类:家政服务 年份:2019 指标:品类规模及潜力预测（亿元） 值,5.25
行业:服务 业态:生活服务 品类:家政服务 年份:2020 指标:品类规模及潜力预测（亿元） 值,3.88
行业:服务 业态:生活服务 品类:家政服务 年份:2021 指标:品类规模及潜力预测（亿元） 值,4.90
行业:服务 业态:生活服务 品类:家政服务 年份:2022 指标:品类规模及潜力预测（亿元） 值,5.34
行业:服务 业态:生活服务 品类:家政服务 年份:2023 指标:品类规模及潜力预测（亿元） 值,5.79
行业:服务 业态:生活服务 品类:家政服务 年份:2024 指标:品类规模及潜力预测（亿元） 值,6.26
行业:服务 业态:生活服务 品类:家政服务 年份:2025 指标:品类规模及潜力预测（亿元） 值,6.73
行业:服务 业态:生活服务 品类:家政服务 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:生活服务 品类:家政服务 年份:2017 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:生活服务 品类:家政服务 年份:2018 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:生活服务 品类:家政服务 年份:2019 指标:品类规模年增长 (%) 值,10.70
行业:服务 业态:生活服务 品类:家政服务 年份:2020 指标:品类规模年增长 (%) 值,-26.0
